This file was created using the 201705 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19920206    ,0.43    ,0.26   ,-0.23    ,0.01
19920207    ,0.35    ,0.31    ,0.07    ,0.01
19920210   ,-1.29    ,0.35    ,0.07    ,0.01
19920211   ,-0.52   ,-0.02    ,0.15    ,0.01
19920212   ,-1.30    ,0.56    ,0.07    ,0.01
19920213   ,-0.61    ,0.02   ,-0.01    ,0.01
19920214   ,-1.33    ,0.79    ,0.04    ,0.01
19920217    ,0.52   ,-0.58    ,0.04    ,0.01
19920218   ,-1.15    ,0.21    ,0.17    ,0.01
19920219   ,-0.85    ,0.74    ,0.24    ,0.01
19920220    ,0.13   ,-0.20    ,0.25    ,0.01
19920221    ,0.74   ,-0.67   ,-0.29    ,0.01
19920224   ,-0.32    ,0.37    ,0.23    ,0.01
19920225   ,-0.18    ,0.08   ,-0.02    ,0.01
19920226    ,0.68   ,-0.47   ,-0.56    ,0.01
19920227    ,0.44    ,0.08   ,-0.02    ,0.01
19920228    ,0.19    ,0.02   ,-0.01    ,0.01
19920302   ,-0.22    ,0.01   ,-0.01    ,0.02
19920303   ,-1.31    ,0.36   ,-0.10    ,0.02
19920304   ,-0.95    ,0.25    ,0.01    ,0.02
19920305   ,-0.67    ,0.43   ,-0.12    ,0.02
19920306   ,-0.20    ,0.20   ,-0.36    ,0.02
19920309   ,-0.43    ,0.27    ,0.13    ,0.02
19920310   ,-0.54    ,0.14   ,-0.05    ,0.02
19920311   ,-0.92    ,0.75    ,0.00    ,0.02
19920312   ,-1.11    ,0.26   ,-0.08    ,0.02
19920313   ,-0.06   ,-0.01    ,0.07    ,0.02
19920316   ,-0.93    ,0.46    ,0.15    ,0.02
19920317    ,0.32   ,-0.10    ,0.26    ,0.02
19920318   ,-0.40    ,0.11    ,0.44    ,0.02
19920319    ,0.35   ,-1.06    ,0.18    ,0.02
19920320   ,-0.42    ,0.14   ,-0.09    ,0.02
19920323    ,0.30   ,-0.01   ,-0.03    ,0.02
19920324   ,-0.52    ,0.06    ,0.32    ,0.02
19920325    ,0.83   ,-0.46    ,0.09    ,0.02
19920326   ,-0.30   ,-0.04    ,0.11    ,0.02
19920327    ,0.01    ,0.53    ,0.16    ,0.02
19920330   ,-0.16   ,-0.38    ,0.31    ,0.02
19920331   ,-0.26    ,0.38    ,0.25    ,0.02
19920401   ,-2.95    ,1.20    ,0.55    ,0.01
19920402   ,-0.86    ,0.29    ,0.43    ,0.01
19920403    ,0.42   ,-0.28    ,0.41    ,0.01
19920406    ,0.72   ,-0.51    ,0.18    ,0.01
19920407   ,-1.58    ,1.13    ,0.64    ,0.01
19920408   ,-2.42    ,1.16    ,0.17    ,0.01
19920409   ,-0.14    ,0.00    ,0.09    ,0.01
19920410    ,3.70   ,-2.74   ,-0.38    ,0.01
19920413   ,-0.73    ,0.66   ,-0.24    ,0.01
